cosine	suggested_conforms_to	node	nearest_labelled_node
0.876	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Hypochondrogenesis::Growth Plate Disorganization	Achondroplasia::Impaired growth plate cartilage development
0.876	lysosomal_substrate_accumulation#Lysosomal Hydrolase or Cofactor Deficiency	Sandhoff_Disease::Hexosaminidase A and B deficiency	Tay-Sachs_Disease::Hexosaminidase A deficiency
0.876	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Sandhoff_Disease::Lysosomal GM2 and GA2 accumulation in neural cells	Fabry_Disease::Lysosomal Gb3 and lyso-Gb3 accumulation
0.876	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Clear_Cell_Ovarian_Carcinoma::PI3K Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.876	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Hereditary_Spherocytosis::Membrane Surface Area Loss and Spherocyte Formation	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.875	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Babesiosis::Babesia-mediated erythrocyte hemolysis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.875	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Limbic_Encephalitis::GABAB Receptor Autoimmunity and Neuronal Hyperexcitability	Epilepsy::Neuronal Hyperexcitability
0.874	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Niemann_Pick_Disease_Type_C::Cerebellar Purkinje Cell Degeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.873	fibrotic_response#Mesenchymal Cell Activation	Crohn_Disease::Fibrosis and Stricture Formation	Sarcoidosis::Fibrotic Tissue Remodeling
0.873	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Cerebellar_Ataxia_Intellectual_Disability_and_Dysequilibrium::Cerebellar Hypoplasia and Purkinje Cell Dysfunction	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.873	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Wissler_syndrome::NLRP3 inflammasome activation and IL-1β/IL-18 maturation	Gout::Inflammasome Activation
0.872	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	D-2-Hydroxyglutaric_Aciduria::Mitochondrial bioenergetic dysfunction and oxidative stress	Huntington_Disease::Mitochondrial Dysfunction
0.872	er_protein_storage_disease#Hepatic Protein Aggregation	Type_I_Diabetes::ER Stress and Unfolded Protein Response	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.871	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Familial_Sleep_Related_Hypermotor_Epilepsy::Cortical excitation-inhibition imbalance	Epilepsy::Neuronal Hyperexcitability
0.871	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Leri-Weill_Dyschondrosteosis::SHOX haploinsufficiency in growth plate chondrocytes	Achondroplasia::Impaired growth plate cartilage development
0.870	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Inflammatory_Myofibroblastic_Tumor::Constitutive Tyrosine Kinase Activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.869	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Osteosarcoma::Dysregulated Signaling Pathways	Nephronophthisis::Impaired Cell Signaling
0.869	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Metaphyseal_Chondrodysplasia_Schmid_Type::Hypertrophic Zone Expansion	Thanatophoric_Dysplasia_Type_1::Impaired chondrocyte hypertrophy and differentiation
0.869	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Schneckenbecken_Dysplasia::Growth Plate Disorganization	Achondroplasia::Impaired growth plate cartilage development
0.868	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Encephalocraniocutaneous_Lipomatosis::Somatic FGFR1 gain-of-function in developing tissues	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.868	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Hereditary_Elliptocytosis::Reduced Erythrocyte Deformability and Stability	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.867	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Morquio_syndrome::Cartilage matrix dysfunction and impaired endochondral ossification	Hypochondroplasia::Impaired endochondral ossification
0.866	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Atrial_Standstill::Atrial Fibrosis and Low-Voltage Scar	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.866	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Fragile_X-Associated_Tremor_Ataxia_Syndrome::Neurodegeneration and neuronal cell death	Machado_Joseph_Disease::Multifocal neurodegeneration
0.865	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency::Progressive Cerebellar Neurodegeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.865	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Autosomal_Dominant_Cerebellar_Ataxia_Type_I::Extracerebellar Neurodegeneration	Machado_Joseph_Disease::Multifocal neurodegeneration
0.865	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	RPGR-Related_Retinopathy::Variant-position-dependent rod versus cone bias	Alstrom_Syndrome::Photoreceptor Degeneration
0.864	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Schizophrenia::Mitochondrial Dysfunction and Oxidative Stress	Huntington_Disease::Mitochondrial Dysfunction
0.864	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Meckel_Syndrome::Ciliary base protein dysfunction (MKS1)	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.864	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Autoimmune_Polyendocrine_Syndrome_Type_1::Organ-Specific Autoimmune Destruction	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.864	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	Aortitis::Aortic wall remodeling and structural complications	Marfan_Syndrome::Extracellular Matrix Remodeling
0.863	er_protein_storage_disease#Hepatic Protein Aggregation	Hypochondrogenesis::Endoplasmic Reticulum Stress and UPR Activation	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.863	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Oroya_Fever::Bartonella erythrocyte infection and hemolysis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.863	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Chondrodysplasia_Punctata_Tibial-metacarpal_Type::Abnormal Cartilage Calcification and Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
0.863	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Alopecia_Areata::CD8+ T Cell-Mediated Attack	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.862	immune_checkpoint_blockade#Adaptive Immune Resistance	Mixed_Connective_Tissue_Disease::T Cell-Mediated Inflammation	Endometrial_Carcinoma::Adaptive Immune Resistance
0.862	fibrotic_response#Mesenchymal Cell Activation	IgG4-Related_Sclerosing_Cholangitis::Bile Duct Fibrostenosis	Sarcoidosis::Fibrotic Tissue Remodeling
0.862	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	Achromatopsia::Cone Photoreceptor Degeneration	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.862	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Erdheim-Chester_Disease::MAPK/ERK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.862	peripheral_axonal_degeneration#Distal Axonal Degeneration and Demyelination	Charcot-Marie-Tooth_Disease_Type_2::Impaired Mitochondrial Axonal Transport	Charcot-Marie-Tooth_Disease::Axonal Degeneration in CMT2
0.861	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Wolf-Hirschhorn_Syndrome::FGFR3 Haploinsufficiency	Hypochondroplasia::FGFR3 constitutive activation
0.861	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Aland_Island_Eye_Disease::Retinal Signal Transmission and ERG Abnormality	Alstrom_Syndrome::Photoreceptor Degeneration
0.861	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Polycystic_Kidney_Disease::Ciliary Dysfunction	Nephronophthisis::Ciliary Dysfunction
0.861	er_protein_storage_disease#Hepatic Protein Aggregation	COPA_Syndrome::ER stress and unfolded protein response	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.860	immune_checkpoint_blockade#Adaptive Immune Resistance	Leprosy::Enhanced Cell-Mediated Immunity in Type 1 Reaction	Bladder_Urothelial_Carcinoma::Adaptive Immune Resistance and PD-L1-Mediated Immune Evasion
0.859	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Larsen_Syndrome::Comparator FLNB Deficiency Model: Disrupted Endochondral Ossification	Hypochondroplasia::Impaired endochondral ossification
0.859	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	CINCA_Syndrome::Constitutive NLRP3 inflammasome activation	Gout::Inflammasome Activation
0.858	immune_checkpoint_blockade#Adaptive Immune Resistance	Langerhans_Cell_Histiocytosis::T cell exhaustion and immune checkpoint evasion	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.857	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Laryngeal_Squamous_Cell_Carcinoma::Cancer Stem Cell Signaling Program	Nephronophthisis::Impaired Cell Signaling
0.857	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Sickle_Cell_Disease::Red Blood Cell Sickling	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.857	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Carvajal_Syndrome::Contractile and Electrical Dysfunction	Long_QT_Syndrome::Early Afterdepolarizations
0.856	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Hypotrichosis_with_Juvenile_Macular_Dystrophy::Secondary Photoreceptor Degeneration	Joubert_syndrome::Photoreceptor outer segment dystrophy
0.856	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Infantile_Parkinsonism-Dystonia::Dopaminergic Neurodegeneration and Nigrostriatal Dysfunction	Machado_Joseph_Disease::Multifocal neurodegeneration
0.856	neural_crest_melanocyte_deficiency#Cutaneous Hair and Iris Melanocyte Deficiency	Neurofibromatosis_Type_1::Melanocyte Pigmentation Program Activation	PAX3_Waardenburg_Spectrum::Cutaneous hair and iris melanocyte deficiency
0.855	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	Tay-Sachs_Disease::Retinal ganglion cell lipid storage	Glaucoma::Retinal Ganglion Cell Death
0.854	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Crouzon_Syndrome::Shared-Isoform FGFR2 Signaling Perturbation	Crouzon_Syndrome::FGFR2 Gain-of-Function Signaling
0.854	fibrotic_response#Excessive ECM Deposition	Collagenous_Sprue::Subepithelial collagen deposition and fibrotic remodeling	Hepatic_Fibrinogen_Storage_Disease::Excessive Hepatic ECM Deposition
0.854	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	L-2-Hydroxyglutaric_Aciduria::Mitochondrial dysfunction and metabolic reprogramming	Huntington_Disease::Mitochondrial Dysfunction
0.853	fibrotic_response#Mesenchymal Cell Activation	Liver_Cirrhosis::Hepatic Stellate Cell Activation	Hepatic_Veno-occlusive_Disease-Immunodeficiency_Syndrome::Hepatic stellate cell activation and fibrotic remodeling
0.853	fibrotic_response#Mesenchymal Cell Activation	Myhre_Syndrome::Proliferative Fibrosis and Extracellular Matrix Deposition	Sarcoidosis::Fibrotic Tissue Remodeling
0.853	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Nasopharyngeal_Carcinoma::LMP2A-Mediated B Cell Receptor Mimicry	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.853	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Vulvar_Adenocarcinoma::HER2-Positive Paget-Associated Signaling	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::TGF-beta signaling dysregulation
0.853	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Narcolepsy-Cataplexy_Syndrome::Immune-Mediated Orexin Neuron Injury	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.853	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	Inherited_Retinal_Dystrophy::Photoreceptor Outer Segment and Ciliary Dysfunction	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.852	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Lead_Poisoning::Hemolytic erythrocyte injury	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.852	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Renal_Tubular_Acidosis_Distal_4_with_Hemolytic_Anemia::Red Cell Membrane Instability	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.851	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Splenic_Artery_Aneurysm::Splenic arterial wall remodeling	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.851	intestinal_barrier_dysfunction#Epithelial Stress and Injury	Celiac_Disease::Intestinal Epithelial Damage	Chemotherapy_Induced_Diarrhea::Crypt stem/progenitor apoptosis and epithelial injury
0.851	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Achondroplasia::Cranial base synchondrosis closure	Hypochondroplasia::Impaired endochondral ossification
0.851	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Benign_Neonatal_Seizures::Neonatal Neuronal Hyperexcitability	Epilepsy::Neuronal Hyperexcitability
0.850	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Stromme_Syndrome::Defective CENPF-dependent IFT88 ciliary targeting	Bardet-Biedl_Syndrome::Ciliary membrane protein trafficking defect
0.850	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Cerebellar_Ataxia-Hypogonadism_Syndrome::Cerebellar and Hippocampal Neurodegeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.849	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	Inherited_Retinal_Dystrophy::Photoreceptor Cell Death	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.849	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	Achondrogenesis_Type_II::Extracellular Matrix Deficiency	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::Extracellular matrix structural failure
0.849	neural_crest_melanocyte_deficiency#Cutaneous Hair and Iris Melanocyte Deficiency	Nevus_of_Ota::Dermal and Ocular Melanocyte Accumulation	PAX3_Waardenburg_Spectrum::Cutaneous hair and iris melanocyte deficiency
0.848	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Dysembryoplastic_Neuroepithelial_Tumor::FGFR1-Driven RAS-MAPK Activation	Thanatophoric_Dysplasia_Type_2::Constitutive FGFR3 kinase activation by K650E
0.848	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Benign_Prostatic_Hyperplasia::TGF-beta/ROCK1 Mediated Stromal Hyperplasia	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::TGF-beta signaling dysregulation
0.847	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Proteus_syndrome::Elevated PI3K/AKT signaling in AKT1-mutant cells	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.847	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Larsen_Syndrome::Comparator FLNB Deficiency Model: Impaired Chondrocyte Differentiation	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.847	fibrotic_response#Mesenchymal Cell Activation	Tall_Stature-Intellectual_Disability-Renal_Anomalies_Syndrome::Increased Fibroblast Proliferation	IgG4-Related_Disease::Storiform Fibrosis
0.846	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Progressive_Myoclonus_Epilepsy::Cortical Reflex Myoclonus and Progressive Neurodegeneration	Machado_Joseph_Disease::Multifocal neurodegeneration
0.846	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Neurofibromatosis_Type_1::PI3K-AKT-mTOR Pathway Hyperactivation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.846	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	3-Methylcrotonyl-CoA_Carboxylase_Deficiency::Secondary mitochondrial dysfunction and oxidative stress	Huntington_Disease::Mitochondrial Dysfunction
0.845	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Lowe_Syndrome::Ciliary PI(4,5)P2 imbalance	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.845	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Pancreatic_Neuroendocrine_Tumor::mTOR Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.845	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Autoimmune_Polyendocrinopathy::T Cell-Mediated Organ Destruction	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.844	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Ellis-van_Creveld_Syndrome::Primary Cilium Dysfunction	Orofaciodigital_Syndrome_Type_I::Primary Cilia Dysfunction
0.844	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Hypertensive_Heart_Disease::Inflammasome Activation	Gout::Inflammasome Activation
0.844	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Alveolar_Rhabdomyosarcoma::RAS/PI3K Effector Pathway Activation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.844	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Polymyositis::CD8+ T Cell-Mediated Cytotoxicity	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.844	fibrotic_response#Mesenchymal Cell Activation	Alstrom_Syndrome::Extracellular Matrix Dysregulation	Sarcoidosis::Fibrotic Tissue Remodeling
0.844	intestinal_barrier_dysfunction#Paracellular Barrier Leak	Pouchitis::Epithelial Barrier Dysfunction	Chemotherapy_Induced_Diarrhea::Paracellular barrier leak and mucosal break formation
